Unnamed: 0,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file,released_amount_imputed
331,BI09993,Patna Constituency,Patna,Bihar,200000,140000.0,136985.39,stalled,365,2024-07-06,2025-07-06,,Jal Nigam,sanitation,52.7,synthetic,sample_projects_synthetic.csv,True
333,KA09808,Belagavi Constituency,Belagavi,Karnataka,300000,150000.0,73277.0,sanctioned,180,2023-11-20,2024-05-18,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
334,TA10113,Chennai Constituency,Chennai,Tamil Nadu,1500000,0.0,0.0,recommended,270,2024-03-14,2024-12-09,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv,False
335,KA10079,Belagavi Constituency,Belagavi,Karnataka,1500000,1050000.0,872018.6,sanctioned,365,2023-06-11,2024-06-10,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,True
336,AN10279,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,0.0,0.0,recommended,545,2023-10-17,2025-04-14,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
337,BI09355,Gaya Constituency,Gaya,Bihar,300000,150000.0,66000.0,stalled,180,2023-06-13,2023-12-10,,PWD,drinking water,31.2,synthetic,sample_projects_synthetic.csv,False
338,BI10174,Patna Constituency,Patna,Bihar,1500000,1500000.0,800354.06,ongoing,90,2024-11-22,2025-02-20,,Zilla Parishad,road,45.3,synthetic,sample_projects_synthetic.csv,False
340,KE10286,Ernakulam Constituency,Ernakulam,Kerala,300000,300000.0,168195.73,ongoing,730,2023-03-07,2025-03-06,,Jal Nigam,community hall,43.4,synthetic,sample_projects_synthetic.csv,False
341,KE10361,Kozhikode Constituency,Kozhikode,Kerala,300000,300000.0,287972.4,sanctioned,90,2024-01-01,2024-03-31,,Jal Nigam,irrigation,,synthetic,sample_projects_synthetic.csv,False
342,WE09457,Kolkata Constituency,Kolkata,West Bengal,2000000,2000000.0,1011345.42,stalled,270,2024-04-22,2025-01-17,,Jal Nigam,drinking water,94.9,synthetic,sample_projects_synthetic.csv,False
343,WE09705,Kolkata Constituency,Kolkata,West Bengal,750000,0.0,0.0,recommended,90,2024-01-16,2024-04-15,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv,False
344,WE10076,Kolkata Constituency,Kolkata,West Bengal,1500000,1500000.0,640016.76,stalled,180,2024-03-15,2024-09-11,,Jal Nigam,sanitation,17.2,synthetic,sample_projects_synthetic.csv,False
345,BI09168,Patna Constituency,Patna,Bihar,500000,500000.0,389845.26,ongoing,365,2024-11-12,2025-11-12,,Rural Dev Dept,school,49.0,synthetic,sample_projects_synthetic.csv,False
347,WE10164,Kolkata Constituency,Kolkata,West Bengal,300000,0.0,0.0,recommended,545,2024-07-17,2026-01-13,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,False
349,UT10432,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,750000.0,469886.69,completed,545,2024-03-18,2025-09-14,2025-09-06,PWD,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
351,UT09461,Lucknow Constituency,Lucknow,Uttar Pradesh,750000,0.0,0.0,recommended,90,2024-08-10,2024-11-08,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,False
352,UT10100,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,1000000,0.0,0.0,recommended,180,2024-08-30,2025-02-26,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,False
354,KA10192,Mysuru Constituency,Mysuru,Karnataka,500000,0.0,0.0,recommended,365,2023-01-03,2024-01-03,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
355,TA10343,Madurai Constituency,Madurai,Tamil Nadu,500000,0.0,0.0,recommended,545,2024-05-31,2025-11-27,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
356,TA09346,Madurai Constituency,Madurai,Tamil Nadu,300000,150000.0,96506.56,ongoing,90,2024-06-15,2024-09-13,,Zilla Parishad,road,76.8,synthetic,sample_projects_synthetic.csv,False
358,MA10579,Nagpur Constituency,Nagpur,Maharashtra,200000,0.0,0.0,recommended,545,2024-05-26,2025-11-22,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,False
359,RA10406,Jaipur Constituency,Jaipur,Rajasthan,1000000,500000.0,491702.15,sanctioned,180,2024-07-23,2025-01-19,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
360,WE09613,Kolkata Constituency,Kolkata,West Bengal,300000,0.0,0.0,recommended,365,2024-10-24,2025-10-24,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
361,RA09992,Jaipur Constituency,Jaipur,Rajasthan,200000,200000.0,183085.05,stalled,270,2024-03-05,2024-11-30,,PWD,electricity,54.0,synthetic,sample_projects_synthetic.csv,False
362,MA10057,Nagpur Constituency,Nagpur,Maharashtra,500000,250000.0,166257.15,stalled,730,2023-05-25,2025-05-24,,Zilla Parishad,community hall,60.0,synthetic,sample_projects_synthetic.csv,False
363,KE09044,Ernakulam Constituency,Ernakulam,Kerala,1000000,0.0,0.0,recommended,730,2023-02-05,2025-02-04,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,False
364,TA09059,Chennai Constituency,Chennai,Tamil Nadu,1000000,0.0,0.0,recommended,365,2024-11-22,2025-11-22,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
366,RA09212,Jodhpur Constituency,Jodhpur,Rajasthan,300000,300000.0,225050.39,sanctioned,270,2023-07-12,2024-04-07,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,False
368,BI09814,Gaya Constituency,Gaya,Bihar,750000,0.0,0.0,recommended,180,2023-04-24,2023-10-21,,Rural Dev Dept,road,,synthetic,sample_projects_synthetic.csv,False
372,KE10372,Kozhikode Constituency,Kozhikode,Kerala,300000,0.0,0.0,recommended,545,2023-02-05,2024-08-03,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
375,WE10461,Kolkata Constituency,Kolkata,West Bengal,200000,100000.0,78012.41,sanctioned,365,2023-08-07,2024-08-06,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
376,AN10401,Krishna Constituency,Krishna,Andhra Pradesh,500000,500000.0,304273.19,ongoing,270,2023-05-14,2024-02-08,,Zilla Parishad,sanitation,87.3,synthetic,sample_projects_synthetic.csv,False
378,AN10087,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,150000.0,92359.11,stalled,545,2024-10-23,2026-04-21,,PWD,school,43.6,synthetic,sample_projects_synthetic.csv,False
379,AN09688,Krishna Constituency,Krishna,Andhra Pradesh,750000,750000.0,362850.22,sanctioned,180,2023-10-01,2024-03-29,,PWD,sanitation,,synthetic,sample_projects_synthetic.csv,False
380,AN09293,Guntur Constituency,Guntur,Andhra Pradesh,500000,500000.0,300000.0,sanctioned,365,2023-05-26,2024-05-25,,Rural Dev Dept,road,,synthetic,sample_projects_synthetic.csv,False
381,BI10119,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,200000.0,101804.35,sanctioned,270,2023-07-02,2024-03-28,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
382,AN10101,Guntur Constituency,Guntur,Andhra Pradesh,750000,375000.0,310552.26,completed,180,2023-04-19,2023-10-16,2023-11-01,Jal Nigam,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
383,KA10027,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,2000000,2000000.0,801587.1,completed,180,2023-08-10,2024-02-06,2024-05-18,PWD,school,100.0,synthetic,sample_projects_synthetic.csv,False
384,BI09822,Muzaffarpur Constituency,Muzaffarpur,Bihar,750000,750000.0,347756.19,stalled,365,2024-08-07,2025-08-07,,PWD,sanitation,25.4,synthetic,sample_projects_synthetic.csv,False
385,KA10552,Belagavi Constituency,Belagavi,Karnataka,750000,0.0,0.0,recommended,545,2023-10-04,2025-04-01,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,False
386,TA09370,Chennai Constituency,Chennai,Tamil Nadu,300000,210000.0,109200.0,completed,270,2024-01-30,2024-10-26,2025-04-20,PWD,electricity,100.0,synthetic,sample_projects_synthetic.csv,True
387,KA10270,Mysuru Constituency,Mysuru,Karnataka,750000,375000.0,368470.69,ongoing,270,2024-10-27,2025-07-24,,Rural Dev Dept,community hall,64.4,synthetic,sample_projects_synthetic.csv,False
389,UT10455,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,250000.0,143441.76,completed,545,2024-02-15,2025-08-13,2025-09-22,Zilla Parishad,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
391,RA09573,Jaipur Constituency,Jaipur,Rajasthan,1500000,750000.0,317717.66,sanctioned,545,2024-05-03,2025-10-30,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
392,KE10137,Kozhikode Constituency,Kozhikode,Kerala,200000,200000.0,104809.23,completed,365,2023-11-23,2024-11-22,2024-11-14,Rural Dev Dept,school,100.0,synthetic,sample_projects_synthetic.csv,False
393,AN09349,Krishna Constituency,Krishna,Andhra Pradesh,300000,210000.0,128100.0,sanctioned,180,2023-09-30,2024-03-28,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,True
394,UT10141,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,2000000,2000000.0,1481937.99,completed,270,2023-11-13,2024-08-09,2024-12-06,Rural Dev Dept,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
395,MA10025,Nagpur Constituency,Nagpur,Maharashtra,300000,300000.0,194097.06,ongoing,545,2023-01-25,2024-07-23,,Rural Dev Dept,electricity,63.2,synthetic,sample_projects_synthetic.csv,False
397,BI09263,Muzaffarpur Constituency,Muzaffarpur,Bihar,500000,250000.0,185000.0,stalled,545,2023-12-07,2025-06-04,,Zilla Parishad,irrigation,28.4,synthetic,sample_projects_synthetic.csv,False
398,RA09594,Jodhpur Constituency,Jodhpur,Rajasthan,750000,750000.0,270000.0,ongoing,730,2023-08-11,2025-08-10,,Zilla Parishad,sanitation,35.8,synthetic,sample_projects_synthetic.csv,False
399,TA09547,Madurai Constituency,Madurai,Tamil Nadu,1000000,1000000.0,530000.0,completed,90,2024-03-10,2024-06-08,2024-09-22,Zilla Parishad,school,100.0,synthetic,sample_projects_synthetic.csv,False
400,AN10308,Guntur Constituency,Guntur,Andhra Pradesh,300000,300000.0,196597.09,ongoing,90,2024-01-26,2024-04-25,,Jal Nigam,community hall,53.2,synthetic,sample_projects_synthetic.csv,False
401,TA10066,Coimbatore Constituency,Coimbatore,Tamil Nadu,300000,0.0,0.0,recommended,90,2023-12-30,2024-03-29,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
402,BI09350,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,1000000.0,892078.88,completed,90,2024-05-23,2024-08-21,2024-11-12,PWD,road,100.0,synthetic,sample_projects_synthetic.csv,False
403,TA09731,Madurai Constituency,Madurai,Tamil Nadu,300000,150000.0,99000.0,ongoing,90,2024-11-06,2025-02-04,,Jal Nigam,road,48.0,synthetic,sample_projects_synthetic.csv,False
404,KA09678,Belagavi Constituency,Belagavi,Karnataka,750000,750000.0,314795.43,sanctioned,545,2024-04-27,2025-10-24,,Jal Nigam,irrigation,,synthetic,sample_projects_synthetic.csv,False
405,AN10093,Krishna Constituency,Krishna,Andhra Pradesh,1000000,1000000.0,809204.15,stalled,545,2023-10-03,2025-03-31,,Jal Nigam,drinking water,78.4,synthetic,sample_projects_synthetic.csv,False
407,KA09860,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,2000000,2000000.0,1639723.29,completed,180,2023-08-07,2024-02-03,2024-06-11,Jal Nigam,school,100.0,synthetic,sample_projects_synthetic.csv,False
408,BI10700,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,0.0,0.0,recommended,365,2023-09-11,2024-09-10,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,False
409,WE09674,Kolkata Constituency,Kolkata,West Bengal,500000,500000.0,290000.0,completed,365,2023-08-18,2024-08-17,2024-09-12,Zilla Parishad,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
410,BI10272,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,0.0,0.0,recommended,545,2024-01-12,2025-07-10,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
411,RA09195,Jodhpur Constituency,Jodhpur,Rajasthan,1000000,1000000.0,754937.7,ongoing,90,2024-10-09,2025-01-07,,Zilla Parishad,road,51.6,synthetic,sample_projects_synthetic.csv,False
413,BI10467,Patna Constituency,Patna,Bihar,500000,500000.0,382151.52,completed,270,2023-01-11,2023-10-08,2023-10-12,Rural Dev Dept,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
414,WE10363,Howrah Constituency,Howrah,West Bengal,2000000,2000000.0,1994527.97,sanctioned,545,2023-06-07,2024-12-03,,PWD,electricity,,synthetic,sample_projects_synthetic.csv,False
416,KA09999,Belagavi Constituency,Belagavi,Karnataka,200000,200000.0,173499.65,sanctioned,270,2023-11-19,2024-08-15,,PWD,sanitation,,synthetic,sample_projects_synthetic.csv,False
417,TA09819,Madurai Constituency,Madurai,Tamil Nadu,300000,300000.0,252000.0,completed,90,2023-07-17,2023-10-15,2023-12-21,Jal Nigam,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
418,KA09890,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,750000.0,740755.53,ongoing,270,2023-12-23,2024-09-18,,PWD,electricity,19.4,synthetic,sample_projects_synthetic.csv,False
419,UT10356,Lucknow Constituency,Lucknow,Uttar Pradesh,300000,150000.0,123140.61,completed,545,2023-06-14,2024-12-10,2025-06-13,PWD,school,100.0,synthetic,sample_projects_synthetic.csv,False
420,UT10011,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,750000.0,664628.2,sanctioned,545,2024-03-26,2025-09-22,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
422,WE09767,Kolkata Constituency,Kolkata,West Bengal,1500000,1500000.0,885000.0,stalled,270,2023-12-26,2024-09-21,,Rural Dev Dept,electricity,53.1,synthetic,sample_projects_synthetic.csv,False
423,KE09411,Ernakulam Constituency,Ernakulam,Kerala,1500000,1500000.0,1172664.08,ongoing,365,2023-09-05,2024-09-04,,Rural Dev Dept,sanitation,42.8,synthetic,sample_projects_synthetic.csv,False
424,KA09531,Belagavi Constituency,Belagavi,Karnataka,1000000,500000.0,485054.84,ongoing,730,2024-03-13,2026-03-13,,Jal Nigam,drinking water,90.3,synthetic,sample_projects_synthetic.csv,False
425,WE10690,Howrah Constituency,Howrah,West Bengal,750000,0.0,0.0,recommended,365,2024-05-28,2025-05-28,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
426,MA09116,Pune Constituency,Pune,Maharashtra,2000000,2000000.0,1440000.0,stalled,365,2024-02-10,2025-02-09,,Zilla Parishad,electricity,40.6,synthetic,sample_projects_synthetic.csv,False
428,WE09630,Howrah Constituency,Howrah,West Bengal,500000,0.0,0.0,recommended,730,2024-11-13,2026-11-13,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
429,RA09223,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,1400000.0,718884.78,ongoing,270,2023-11-23,2024-08-19,,PWD,road,23.2,synthetic,sample_projects_synthetic.csv,True
430,BI09006,Patna Constituency,Patna,Bihar,1500000,1500000.0,1202778.54,completed,365,2024-07-12,2025-07-12,2025-08-15,Rural Dev Dept,road,100.0,synthetic,sample_projects_synthetic.csv,False
431,UT10099,Lucknow Constituency,Lucknow,Uttar Pradesh,2000000,0.0,0.0,recommended,90,2024-07-10,2024-10-08,,Rural Dev Dept,road,,synthetic,sample_projects_synthetic.csv,False
432,AN10347,Guntur Constituency,Guntur,Andhra Pradesh,1000000,0.0,0.0,recommended,545,2024-02-01,2025-07-30,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
433,TA10062,Coimbatore Constituency,Coimbatore,Tamil Nadu,750000,750000.0,607500.0,completed,545,2023-12-05,2025-06-02,2025-07-23,PWD,road,100.0,synthetic,sample_projects_synthetic.csv,False
435,UT09958,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,1500000,1500000.0,1319909.45,sanctioned,545,2023-10-01,2025-03-29,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
437,UT10484,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,500000,0.0,0.0,recommended,730,2023-07-08,2025-07-07,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
438,BI10290,Muzaffarpur Constituency,Muzaffarpur,Bihar,750000,0.0,0.0,recommended,730,2024-06-09,2026-06-09,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
439,MA09886,Nagpur Constituency,Nagpur,Maharashtra,500000,250000.0,230288.12,stalled,270,2023-05-16,2024-02-10,,Jal Nigam,community hall,37.5,synthetic,sample_projects_synthetic.csv,False
441,TA09563,Madurai Constituency,Madurai,Tamil Nadu,1000000,1000000.0,427664.9,sanctioned,730,2024-05-30,2026-05-30,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,False
442,UT10028,Lucknow Constituency,Lucknow,Uttar Pradesh,200000,200000.0,134988.48,ongoing,365,2023-01-14,2024-01-14,,Jal Nigam,electricity,36.6,synthetic,sample_projects_synthetic.csv,False
444,TA09117,Coimbatore Constituency,Coimbatore,Tamil Nadu,750000,375000.0,352055.65,ongoing,730,2023-06-10,2025-06-09,,Jal Nigam,road,63.4,synthetic,sample_projects_synthetic.csv,False
445,MA09583,Pune Constituency,Pune,Maharashtra,200000,200000.0,162434.21,ongoing,365,2023-09-06,2024-09-05,,Rural Dev Dept,road,83.7,synthetic,sample_projects_synthetic.csv,False
447,KE09994,Kozhikode Constituency,Kozhikode,Kerala,200000,200000.0,116723.98,stalled,180,2023-10-26,2024-04-23,,PWD,drinking water,83.1,synthetic,sample_projects_synthetic.csv,False
449,KE09513,Ernakulam Constituency,Ernakulam,Kerala,300000,300000.0,294462.93,stalled,365,2024-04-18,2025-04-18,,Zilla Parishad,electricity,56.1,synthetic,sample_projects_synthetic.csv,False
450,UT10206,Varanasi Constituency,Varanasi,Uttar Pradesh,1500000,750000.0,509206.05,sanctioned,90,2024-08-15,2024-11-13,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,False
453,TA10622,Chennai Constituency,Chennai,Tamil Nadu,500000,0.0,0.0,recommended,270,2024-08-04,2025-05-01,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
454,AN10445,Guntur Constituency,Guntur,Andhra Pradesh,1000000,1000000.0,479204.33,completed,180,2023-10-23,2024-04-20,2024-05-09,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
455,KA10489,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,750000.0,681400.14,sanctioned,270,2024-03-22,2024-12-17,,PWD,sanitation,,synthetic,sample_projects_synthetic.csv,False
456,WE10236,Kolkata Constituency,Kolkata,West Bengal,1000000,0.0,0.0,recommended,730,2024-03-06,2026-03-06,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
458,KA09093,Mysuru Constituency,Mysuru,Karnataka,1500000,1500000.0,767966.49,ongoing,90,2023-07-19,2023-10-17,,Rural Dev Dept,electricity,49.1,synthetic,sample_projects_synthetic.csv,False
459,UT09605,Varanasi Constituency,Varanasi,Uttar Pradesh,1000000,500000.0,415000.0,ongoing,270,2023-12-29,2024-09-24,,Rural Dev Dept,irrigation,18.6,synthetic,sample_projects_synthetic.csv,False
460,TA09408,Madurai Constituency,Madurai,Tamil Nadu,1000000,500000.0,356211.48,sanctioned,180,2024-05-04,2024-10-31,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
461,UT09157,Varanasi Constituency,Varanasi,Uttar Pradesh,2000000,2000000.0,1240000.0,stalled,90,2024-03-10,2024-06-08,,Rural Dev Dept,sanitation,22.1,synthetic,sample_projects_synthetic.csv,False
462,BI10067,Patna Constituency,Patna,Bihar,300000,0.0,0.0,recommended,270,2023-04-29,2024-01-24,,PWD,electricity,,synthetic,sample_projects_synthetic.csv,False
465,KE10637,Ernakulam Constituency,Ernakulam,Kerala,750000,0.0,0.0,recommended,90,2024-10-03,2025-01-01,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,False
466,KA09206,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,1500000.0,749063.67,ongoing,90,2024-04-27,2024-07-26,,PWD,drinking water,84.8,synthetic,sample_projects_synthetic.csv,False
467,BI10497,Patna Constituency,Patna,Bihar,300000,300000.0,165733.51,completed,545,2024-05-28,2025-11-24,2026-01-08,Jal Nigam,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
468,KA10117,Belagavi Constituency,Belagavi,Karnataka,750000,0.0,0.0,recommended,730,2023-07-20,2025-07-19,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
469,WE10310,Kolkata Constituency,Kolkata,West Bengal,1000000,500000.0,440000.0,sanctioned,90,2023-03-04,2023-06-02,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,False
470,RA09937,Jaipur Constituency,Jaipur,Rajasthan,750000,375000.0,258942.48,sanctioned,545,2024-09-23,2026-03-22,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,False
472,WE09756,Kolkata Constituency,Kolkata,West Bengal,300000,150000.0,111974.8,completed,270,2024-04-05,2024-12-31,2025-04-05,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
473,TA09954,Chennai Constituency,Chennai,Tamil Nadu,1500000,750000.0,568400.67,sanctioned,730,2023-07-21,2025-07-20,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,False
474,WE09264,Kolkata Constituency,Kolkata,West Bengal,1000000,500000.0,406084.26,ongoing,545,2024-07-02,2025-12-29,,Zilla Parishad,drinking water,50.8,synthetic,sample_projects_synthetic.csv,False
475,AN09859,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,200000,100000.0,97220.11,ongoing,90,2024-05-27,2024-08-25,,Zilla Parishad,sanitation,91.4,synthetic,sample_projects_synthetic.csv,False
478,MA10120,Nagpur Constituency,Nagpur,Maharashtra,2000000,0.0,0.0,recommended,90,2024-08-17,2024-11-15,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
479,TA09612,Coimbatore Constituency,Coimbatore,Tamil Nadu,200000,100000.0,98534.56,completed,270,2024-06-05,2025-03-02,2025-09-10,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
480,TA10068,Coimbatore Constituency,Coimbatore,Tamil Nadu,1500000,1500000.0,1217839.84,completed,270,2024-10-18,2025-07-15,2026-01-05,Zilla Parishad,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
481,UT10080,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,750000.0,453429.7,sanctioned,730,2023-05-25,2025-05-24,,PWD,electricity,,synthetic,sample_projects_synthetic.csv,False
482,AN09436,Guntur Constituency,Guntur,Andhra Pradesh,1000000,1000000.0,608421.19,ongoing,270,2023-03-18,2023-12-13,,Rural Dev Dept,school,93.9,synthetic,sample_projects_synthetic.csv,False
483,KA10202,Belagavi Constituency,Belagavi,Karnataka,1000000,1000000.0,906030.62,stalled,730,2023-12-07,2025-12-06,,Jal Nigam,school,93.6,synthetic,sample_projects_synthetic.csv,False
484,KA10369,Mysuru Constituency,Mysuru,Karnataka,200000,200000.0,149227.87,stalled,365,2023-07-07,2024-07-06,,PWD,community hall,18.3,synthetic,sample_projects_synthetic.csv,False
485,TA09775,Coimbatore Constituency,Coimbatore,Tamil Nadu,1000000,0.0,0.0,recommended,730,2024-03-30,2026-03-30,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
486,KA10116,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,750000.0,630124.65,sanctioned,730,2024-11-18,2026-11-18,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
487,BI09186,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,200000.0,131386.55,sanctioned,90,2024-01-24,2024-04-23,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
488,WE09351,Howrah Constituency,Howrah,West Bengal,1500000,750000.0,404355.73,sanctioned,270,2023-02-01,2023-10-29,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
489,BI10386,Gaya Constituency,Gaya,Bihar,2000000,0.0,0.0,recommended,730,2023-07-05,2025-07-04,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
490,AN09255,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1500000,1500000.0,881835.25,stalled,365,2024-09-09,2025-09-09,,Zilla Parishad,school,76.4,synthetic,sample_projects_synthetic.csv,False
491,UT10198,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,300000,0.0,0.0,recommended,270,2024-11-04,2025-08-01,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
492,MA09850,Pune Constituency,Pune,Maharashtra,1500000,750000.0,674108.6,completed,545,2023-12-01,2025-05-29,2025-12-07,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
495,TA09823,Madurai Constituency,Madurai,Tamil Nadu,1500000,1500000.0,1233775.1,stalled,730,2023-12-16,2025-12-15,,Jal Nigam,sanitation,90.3,synthetic,sample_projects_synthetic.csv,False
496,MA09703,Nagpur Constituency,Nagpur,Maharashtra,300000,300000.0,173616.92,completed,545,2024-03-01,2025-08-28,2025-09-16,Zilla Parishad,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
497,TA09870,Coimbatore Constituency,Coimbatore,Tamil Nadu,300000,0.0,0.0,recommended,545,2024-08-28,2026-02-24,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv,False
501,KE09510,Ernakulam Constituency,Ernakulam,Kerala,300000,150000.0,84697.66,sanctioned,365,2023-10-18,2024-10-17,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv,False
502,BI09673,Gaya Constituency,Gaya,Bihar,1000000,700000.0,308000.0,ongoing,180,2023-09-28,2024-03-26,,Jal Nigam,drinking water,39.5,synthetic,sample_projects_synthetic.csv,True
504,RA09833,Jaipur Constituency,Jaipur,Rajasthan,200000,200000.0,156000.0,completed,90,2024-10-06,2025-01-04,2025-03-27,Rural Dev Dept,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
505,UT09035,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,1000000.0,597501.94,completed,365,2024-02-14,2025-02-13,2025-01-19,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
506,MA09661,Nagpur Constituency,Nagpur,Maharashtra,1500000,1500000.0,1044129.59,stalled,90,2024-06-04,2024-09-02,,PWD,drinking water,90.2,synthetic,sample_projects_synthetic.csv,False
507,KA10048,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,750000.0,597439.2,stalled,180,2023-12-26,2024-06-23,,Rural Dev Dept,electricity,68.2,synthetic,sample_projects_synthetic.csv,False
508,BI09246,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,100000.0,36000.0,sanctioned,90,2023-03-07,2023-06-05,,PWD,community hall,,synthetic,sample_projects_synthetic.csv,False
